MARKET_ID,CITY,CAT,DEPT CODE,DEPARTMENT NAME,CLIENT_UPC,UNIQUE_ID,BRAND,ITEM_DESCRIPTION,RICHTER,VENDOR .,VELOCITY,MSRP,PRICES REQUIRED,RETAILER,RETAIL,PRICE,NEXCOM_WEIGHTED_RETAIL,COMP_WEIGHTED_RETAIL
67,PEARL HARBOR,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,OREILLY AUTO PARTS,7.99,4.79,48867.58,81513.98
39,PENSACOLA,,C8,AUTOMOTIVE,007724920032,007724920032,Blue Coral,Black Magic Tire Wet/Tire Dressing 23 oz,12647,,2523,5.99,3,TARGET STORE,5.69,5.19,13094.37,14355.87
39,PENSACOLA,,C8,AUTOMOTIVE,007724920032,007724920032,Blue Coral,Black Magic Tire Wet/Tire Dressing 23 oz,12647,,2523,5.99,3,WALMART SUPERCENTER,5.27,5.19,13094.37,13296.21
67,PEARL HARBOR,,C8,AUTOMOTIVE,007061210160,007061210160,Armorall,ArmorAll Original Protectant 16 oz,,10160,10202,6.99,3,WALMART STORE,5.82,4.79,48867.58,59375.64
39,PENSACOLA,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,WALMART SUPERCENTER,5.74,5.79,10422,10332
39,PENSACOLA,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,ADVANCE AUTO PARTS,6.99,5.79,10422,12582
67,PEARL HARBOR,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,TARGET STORE,5.99,5.79,10422,10782
67,PEARL HARBOR,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,WALMART STORE,5.74,5.79,10422,10332
67,PEARL HARBOR,,C8,AUTOMOTIVE,007911895856,007911895856,Rain-X,Rain X Car Wash 100 oz.,9043437,5072084,1800,6.99,3,AUTO ZONE,8.99,5.79,10422,16182
7,EVERETT,,C8,AUTOMOTIVE,000910038196,000910038196,FRAM,FRAM PH3593A Oil Filter,30974,,4350,4.99,3,WALMART SUPERCENTER,3.88,4.49,19531.5,16878
